## Time start 1629246549.507404, Time end 1629246550.684653, Time diff 1.177250
## Group1.Pos.CurrentPosition;Group2.Pos.CurrentPosition;Group3.Pos.CurrentPosition;Group1.Pos.SetpointPosition;Group2.Pos.SetpointPosition;Group3.Pos.SetpointPosition;Group1.Pos.CurrentVelocity;Group2.Pos.CurrentVelocity;Group3.Pos.CurrentVelocity;Group1.Pos.SetpointVelocity;Group2.Pos.SetpointVelocity;Group3.Pos.SetpointVelocity;Group1.Pos.CurrentAcceleration;Group2.Pos.CurrentAcceleration;Group3.Pos.CurrentAcceleration;Group1.Pos.SetpointAcceleration;Group2.Pos.SetpointAcceleration;Group3.Pos.SetpointAcceleration
10;199.9999;110.00482497;10;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;0;0;0
10;199.9999;110.00482497;10.00000013024;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.0002790816472337;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;0.9302721574455;0;0
10;199.9999;110.00482497;10.00000209311;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.003000127707762;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;4.767644806908;0;0
10;199.9999;110.00482497;10.0000098981;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.0107446434185;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;11.39583392871;0;0
10;199.9999;110.00482497;10.00003162925;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.02695463576198;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;21.0474075622;0;0
10;199.9999;110.00482497;10.00007594742;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.05376973070035;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;33.48979766804;0;0
10;199.9999;110.00482497;10.00015837883;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.09509707129487;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;48.95557228557;0;0
10;199.9999;110.00482497;10.00029130542;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.1526111474289;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;67.21216337544;0;0
10;199.9999;110.00482497;10.00049862588;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.2306842382426;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;88.492138977;0;0
10;199.9999;110.00482497;10.00079551293;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.3305256975404;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;112.5629310509;0;0
10;199.9999;110.00482497;10.00121516801;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.4569729405412;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;139.6571076365;0;0
10;199.9999;110.00482497;10.00177462438;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.6107701849709;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;169.5421006944;0;0
10;199.9999;110.00482497;10.00251731646;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;0.7972199821269;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;202.4504782641;0;0
10;199.9999;110.00482497;10.0034612078;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;1.016601413656;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;238.1496723061;0;0
10;199.9999;110.00482497;10.00466089608;200;110.00482497;2.081668171172e-12;1.290634266127e-10;-2.081668171172e-13;1.274682166936;0;0;-9.979090451046e-25;-6.184669496933e-23;9.971694880059e-26;276.8722508597;0;0
